date,value
2020-07-15,22.3432
2020-07-16,22.4358
2020-07-17,22.5851
2020-07-20,22.4951
2020-07-21,22.3257
2020-07-22,22.3656
2020-07-23,22.482
2020-07-24,22.2967
2020-07-27,21.9484
2020-07-28,21.9525
2020-07-29,21.945
2020-07-30,22.0286
2020-07-31,22.2573
2020-08-03,22.6281
2020-08-04,22.6713
2020-08-05,22.3338
2020-08-06,22.4012
2020-08-07,22.3644
2020-08-10,22.4763
2020-08-11,22.4241
2020-08-12,22.3546
2020-08-13,22.167
2020-08-14,21.9928
2020-08-17,22.179
2020-08-18,22.1532
2020-08-19,22.1427
2020-08-20,22.0822
2020-08-21,21.9536
2020-08-24,22.0041
2020-08-25,21.9093
2020-08-26,21.9435
2020-08-27,22.1524
2020-08-28,21.7693
2020-08-31,21.876
2020-09-01,21.7677
2020-09-02,21.7198
2020-09-03,21.6628
2020-09-04,21.54
2020-09-07,21.5962
2020-09-08,21.8349
2020-09-09,21.3731
2020-09-10,21.4481
2020-09-11,21.2497
2020-09-14,21.084
2020-09-15,21.1466
2020-09-16,20.9596
2020-09-17,20.8853
2020-09-18,21.1209
2020-09-21,21.3505
2020-09-22,21.6958
2020-09-23,22.3526
2020-09-24,22.1512
2020-09-25,22.3371
2020-09-28,22.4329
2020-09-29,22.4248
2020-09-30,22.0965
2020-10-01,21.8332
2020-10-02,21.6563
2020-10-05,21.3765
2020-10-06,21.7273
2020-10-07,21.482
2020-10-08,21.38
2020-10-09,21.1562
2020-10-12,21.2012
2020-10-13,21.3517
2020-10-14,21.3068
2020-10-15,21.275
2020-10-16,21.1294
2020-10-19,21.209
2020-10-20,21.1184
2020-10-21,21.108
2020-10-22,20.9934
2020-10-23,20.8659
2020-10-26,20.9543
2020-10-27,21.0625
2020-10-28,21.2492
2020-10-29,21.3864
2020-10-30,21.1926
2020-11-02,21.3775
2020-11-03,21.1249
2020-11-04,20.9378
2020-11-05,20.6807
2020-11-06,20.5584
2020-11-09,20.3315
2020-11-10,20.3073
2020-11-11,20.4788
2020-11-12,20.6139
2020-11-13,20.4126
2020-11-16,20.2706
2020-11-17,20.2617
2020-11-18,20.318
2020-11-19,20.2088
2020-11-20,20.0662
2020-11-23,20.2133
2020-11-24,20.0285
2020-11-25,19.9691
