date,value
2017-05-22,20.964
2017-05-23,20.875
2017-05-24,20.794
2017-05-25,20.632
2017-05-26,20.684
2017-05-29,20.708
2017-05-30,20.735
2017-05-31,21.056
2017-06-01,20.92
2017-06-02,20.898
2017-06-05,20.692
2017-06-06,20.694
2017-06-07,20.439
2017-06-08,20.47
2017-06-09,20.353
2017-06-12,20.376
2017-06-13,20.319
2017-06-14,20.208
2017-06-15,20.182
2017-06-16,20.089
2017-06-19,20.12
2017-06-20,20.21
2017-06-21,20.256
2017-06-22,20.284
2017-06-23,20.162
2017-06-26,20.041
2017-06-27,20.129
2017-06-28,20.434
2017-06-29,20.47
2017-06-30,20.584
2017-07-03,20.726
2017-07-04,20.676
2017-07-05,20.705
2017-07-06,20.925
2017-07-07,20.749
2017-07-10,20.488
2017-07-11,20.546
2017-07-12,20.463
2017-07-13,20.321
2017-07-14,20.139
2017-07-17,20.12
2017-07-18,20.229
2017-07-19,20.175
2017-07-20,20.204
2017-07-21,20.376
2017-07-24,20.598
2017-07-25,20.721
2017-07-26,20.664
2017-07-27,20.615
2017-07-28,20.809
2017-07-31,20.862
2017-08-01,21.002
2017-08-02,21.187
2017-08-03,21.144
2017-08-04,21.134
2017-08-07,21.154
2017-08-08,21.153
2017-08-09,21.065
2017-08-10,21.055
2017-08-11,21.171
2017-08-14,20.948
2017-08-15,20.944
2017-08-16,20.817
2017-08-17,20.72
2017-08-18,20.996
2017-08-21,20.832
2017-08-22,20.791
2017-08-23,21.009
2017-08-24,20.85
2017-08-25,20.844
2017-08-28,21.058
2017-08-29,21.52
2017-08-30,21.287
2017-08-31,21.084
2017-09-01,21.261
2017-09-04,21.26
2017-09-05,21.218
2017-09-06,21.294
2017-09-07,21.231
2017-09-08,21.338
2017-09-11,21.214
2017-09-12,21.13
2017-09-13,21.283
2017-09-14,21.123
2017-09-15,21.136
2017-09-18,21.127
2017-09-19,21.25
2017-09-20,21.315
2017-09-21,21.225
2017-09-22,21.29
2017-09-25,21.128
2017-09-26,21.182
2017-09-27,21.244
2017-09-28,21.396
2017-09-29,21.461
2017-10-02,21.513
2017-10-03,21.469
2017-10-04,21.387
2017-10-05,21.411
2017-10-06,21.655
2017-10-09,21.884
2017-10-10,21.909
2017-10-11,22.217
2017-10-12,22.21
2017-10-13,22.388
2017-10-16,22.493
2017-10-17,22.433
2017-10-18,22.131
2017-10-19,22.272
2017-10-20,22.328
2017-10-23,22.292
2017-10-24,22.484
2017-10-25,22.603
2017-10-26,22.368
2017-10-27,22.351
2017-10-30,22.176
2017-10-31,22.296
2017-11-01,22.276
2017-11-02,22.232
2017-11-03,22.142
2017-11-06,22.14
2017-11-07,22.071
2017-11-08,22.102
2017-11-09,22.242
2017-11-10,22.224
2017-11-13,22.348
2017-11-14,22.427
2017-11-15,22.689
2017-11-16,22.532
2017-11-17,22.46
2017-11-20,22.349
2017-11-21,22.203
2017-11-22,22.098
2017-11-23,22.093
2017-11-24,22.11
2017-11-27,22.127
2017-11-28,22.037
2017-11-29,21.908
2017-11-30,22.004
2017-12-01,22.194
2017-12-04,22.102
2017-12-05,22.08
2017-12-06,22.203
2017-12-07,22.318
2017-12-08,22.22
2017-12-11,22.304
2017-12-12,22.457
2017-12-13,22.542
2017-12-14,22.624
2017-12-15,22.628
2017-12-18,22.472
2017-12-19,22.512
2017-12-20,22.797
2017-12-21,22.9
2017-12-22,23.126
2017-12-27,23.522
2017-12-28,23.467
2017-12-29,23.661
2018-01-02,23.553
2018-01-03,23.384
2018-01-04,23.322
2018-01-05,23.327
2018-01-08,23.082
2018-01-09,22.931
2018-01-10,23.13
2018-01-11,23.305
2018-01-12,23.196
2018-01-15,23.12
2018-01-16,22.959
2018-01-17,22.939
2018-01-18,22.817
2018-01-19,22.816
2018-01-22,22.806
2018-01-23,23.062
2018-01-24,22.904
2018-01-25,22.881
2018-01-26,23.067
2018-01-29,23.032
2018-01-30,23.129
2018-01-31,23.226
2018-02-01,23.131
2018-02-02,23.056
2018-02-05,23.124
2018-02-06,23.192
2018-02-07,23.047
2018-02-08,22.994
2018-02-09,23.093
2018-02-12,22.836
2018-02-13,22.978
2018-02-14,22.993
2018-02-15,23.126
2018-02-16,23.063
2018-02-19,23.013
2018-02-20,23.0
2018-02-21,23.052
2018-02-22,23.073
2018-02-23,22.838
2018-02-26,22.918
2018-02-27,23.03
2018-02-28,22.944
2018-03-01,23.036
2018-03-02,23.304
2018-03-05,23.259
