date,value
2016-08-26,0.88574
2016-08-29,0.89526
2016-08-30,0.89542
2016-08-31,0.89831
2016-09-01,0.89718
2016-09-02,0.89342
2016-09-05,0.89638
2016-09-06,0.89614
2016-09-07,0.88992
2016-09-08,0.88527
2016-09-09,0.88747
2016-09-12,0.89079
2016-09-13,0.88913
2016-09-14,0.89142
2016-09-15,0.88857
2016-09-16,0.89079
2016-09-19,0.89566
2016-09-20,0.89413
2016-09-21,0.89686
2016-09-22,0.88984
2016-09-23,0.89174
2016-09-26,0.88794
2016-09-27,0.89127
2016-09-28,0.89087
2016-09-29,0.89119
2016-09-30,0.89598
2016-10-03,0.89
2016-10-04,0.89598
2016-10-05,0.89198
2016-10-06,0.89405
2016-10-07,0.89767
2016-10-10,0.89606
2016-10-11,0.90261
2016-10-12,0.90744
2016-10-13,0.90596
2016-10-14,0.90893
2016-10-17,0.90959
2016-10-18,0.90967
2016-10-19,0.91083
2016-10-20,0.91075
2016-10-21,0.91861
2016-10-24,0.91819
2016-10-25,0.91979
2016-10-26,0.91533
2016-10-27,0.91516
2016-10-28,0.91558
2016-10-31,0.91358
2016-11-01,0.90703
2016-11-02,0.90131
2016-11-03,0.90383
2016-11-04,0.90147
2016-11-07,0.904
2016-11-08,0.90596
2016-11-09,0.90728
2016-11-10,0.91785
2016-11-11,0.91709
2016-11-14,0.9279
2016-11-15,0.92894
2016-11-16,0.9344
2016-11-17,0.9331
2016-11-18,0.94082
2016-11-21,0.94065
2016-11-22,0.94189
2016-11-23,0.94322
2016-11-24,0.94805
2016-11-25,0.94411
2016-11-28,0.94447
2016-11-29,0.94554
2016-11-30,0.94029
2016-12-01,0.941
2016-12-02,0.93967
2016-12-05,0.9344
2016-12-06,0.93162
2016-12-07,0.93197
2016-12-08,0.9292
2016-12-09,0.94706
2016-12-12,0.94375
2016-12-13,0.94251
2016-12-14,0.9395
2016-12-15,0.95979
2016-12-16,0.95795
2016-12-19,0.95951
2016-12-20,0.96488
2016-12-21,0.9596
2016-12-22,0.95749
2016-12-23,0.9573
2016-12-27,0.9574
2016-12-28,0.96145
