fecha,tipo,Descriptores,valor
2001-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,0.6488944034336851
2001-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,17874019.34
2001-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,0.067196225238078
2001-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2001-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,0.0671962252380691
2001-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,17761059.865000002
2001-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-1.441796824035606
2001-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2001-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-1.4417968240356047
2001-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,17526889.777999997
2001-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-1.0608163129408863
2001-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2001-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-1.0608163129408583
2002-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,17079137.485
2002-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-3.85660033738921
2002-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2002-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-3.856600337389192
2002-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,18016798.15
2002-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,0.7988063976213482
2002-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2002-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,0.7988063976213662
2002-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,17828003.405
2002-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,0.3769118538467353
2002-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2002-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,0.3769118538467348
2002-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,17834460.01
2002-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,1.754847756195005
2002-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2002-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,1.754847756194979
2003-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,17609605.878
2003-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,3.105943689872447
2003-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2003-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,3.1059436898724666
2003-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,18082663.85
2003-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,0.3655793857023468
2003-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2003-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,0.365579385702336
2003-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,17859147.302
2003-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,0.1746908854149325
2003-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2003-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,0.1746908854149378
2003-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,18045854.589
2003-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,1.1853152766131814
2003-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,99.99999999999996
2003-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,1.1853152766131905
2004-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,18185015.464
2004-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,3.267589235025838
2004-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2004-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,3.267589235025809
2004-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,18770260.284
2004-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,3.802517370802079
2004-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2004-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,3.8025173708020903
2004-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,18461379.993999995
2004-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,3.3721245578872185
2004-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.00000000000004
2004-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,3.3721245578872465
2004-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,18733374.373
2004-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,3.809848852595096
2004-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2004-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,3.809848852595119
2005-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,18271688.439
2005-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,0.4766175490561437
2005-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2005-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,0.4766175490561545
2005-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,19218715.204
2005-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,2.389177950730243
2005-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2005-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,2.3891779507302267
2005-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,18883270.709
2005-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,2.285260988816205
2005-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.00000000000004
2005-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,2.285260988816198
2005-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,19343329.136
2005-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,3.2559791463897483
2005-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2005-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,3.2559791463897447
2006-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,19362570.756
2006-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,5.970342153336901
2006-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2006-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,5.970342153336888
2006-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20116112.951
2006-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,4.669395105106844
2006-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2006-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,4.669395105106841
2006-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,19836008.957
2006-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,5.04540904317976
2006-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2006-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,5.045409043179758
2006-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20040523.076
2006-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,3.604312034904297
